time;temp;wind;pressure;humidity
2024-06-17 12:00:00day;296.81;5.07;1012.0;74.0
2024-06-17 12:00:00eve;301.05;5.07;1012.0;74.0
2024-06-17 12:00:00night;296.18;5.07;1012.0;74.0
2024-06-18 12:00:00morn;292.85;5.79;1010.0;83.0
2024-06-18 12:00:00day;295.68;5.79;1010.0;83.0
2024-06-18 12:00:00eve;299.36;5.79;1010.0;83.0
2024-06-18 12:00:00night;293.99;5.79;1010.0;83.0
2024-06-19 12:00:00morn;291.22;4.23;1011.0;93.0
2024-06-19 12:00:00day;291.59;4.23;1011.0;93.0
2024-06-19 12:00:00eve;290.93;4.23;1011.0;93.0
2024-06-19 12:00:00night;287.38;4.23;1011.0;93.0
2024-06-20 12:00:00morn;285.45;3.74;1012.0;94.0
2024-06-20 12:00:00day;285.86;3.74;1012.0;94.0
2024-06-20 12:00:00eve;289.36;3.74;1012.0;94.0
2024-06-20 12:00:00night;287.57;3.74;1012.0;94.0
2024-06-21 12:00:00morn;284.96;2.76;1013.0;69.0
2024-06-21 12:00:00day;290.99;2.76;1013.0;69.0
2024-06-21 12:00:00eve;296.68;2.76;1013.0;69.0
2024-06-21 12:00:00night;289.18;2.76;1013.0;69.0
