time;temp;wind;pressure;humidity
2024-06-17 12:00:00day;296.8;5.09;1012.0;74.0
2024-06-17 12:00:00eve;301.12;5.09;1012.0;74.0
2024-06-17 12:00:00night;296.26;5.09;1012.0;74.0
2024-06-18 12:00:00morn;292.98;5.83;1010.0;82.0
2024-06-18 12:00:00day;295.83;5.83;1010.0;82.0
2024-06-18 12:00:00eve;299.73;5.83;1010.0;82.0
2024-06-18 12:00:00night;294.23;5.83;1010.0;82.0
2024-06-19 12:00:00morn;291.43;4.21;1011.0;92.0
2024-06-19 12:00:00day;292.16;4.21;1011.0;92.0
2024-06-19 12:00:00eve;291.37;4.21;1011.0;92.0
2024-06-19 12:00:00night;287.72;4.21;1011.0;92.0
2024-06-20 12:00:00morn;285.63;3.73;1012.0;93.0
2024-06-20 12:00:00day;286.01;3.73;1012.0;93.0
2024-06-20 12:00:00eve;289.21;3.73;1012.0;93.0
2024-06-20 12:00:00night;287.65;3.73;1012.0;93.0
2024-06-21 12:00:00morn;285.11;2.74;1013.0;69.0
2024-06-21 12:00:00day;290.97;2.74;1013.0;69.0
2024-06-21 12:00:00eve;296.63;2.74;1013.0;69.0
2024-06-21 12:00:00night;288.98;2.74;1013.0;69.0
